-----------------------------------

Warning: No display specified.  You will not be able to display graphics on the screen.
Warning: No window system found.  Java option 'MWT' ignored

                            < M A T L A B (R) >
                  Copyright 1984-2011 The MathWorks, Inc.
                    R2011b (7.13.0.564) 64-bit (glnxa64)
                              August 13, 2011

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

SH
1048576 	 3.459857e-02
1024x1024 	 4.949496e-02
256x256x16 	 6.190818e-02
4194304 	 2.034190e-01
2048x2048 	 2.326723e-01
256x256x64 	 2.747575e-01
16777216 	 1.099755e+00
4096x4096 	 1.293552e+00
512x512x64 	 1.288645e+00
67108864 	 6.581469e+00
8192x8192 	 5.685664e+00
1024x1024x64 	 7.156908e+00

SC
1048576 	 3.522593e-02
1024x1024 	 4.595482e-02
256x256x16 	 6.100796e-02
4194304 	 2.126673e-01
2048x2048 	 2.653296e-01
256x256x64 	 2.887162e-01
16777216 	 1.152510e+00
4096x4096 	 1.352978e+00
512x512x64 	 1.356486e+00
67108864 	 6.669039e+00
8192x8192 	 5.800412e+00
1024x1024x64 	 7.300844e+00

DH
1048576 	 6.001113e-02
1024x1024 	 6.544815e-02
256x256x16 	 8.342720e-02
4194304 	 3.379890e-01
2048x2048 	 4.396988e-01
256x256x64 	 4.119585e-01
16777216 	 2.205911e+00
4096x4096 	 2.005317e+00
512x512x64 	 1.958085e+00
67108864 	 1.045882e+01
8192x8192 	 8.533313e+00
1024x1024x64 	 9.535977e+00

DZ
1048576 	 6.346206e-02
1024x1024 	 7.778370e-02
256x256x16 	 8.899547e-02
4194304 	 3.468072e-01
2048x2048 	 4.477296e-01
256x256x64 	 4.282507e-01
16777216 	 2.236880e+00
4096x4096 	 2.039914e+00
512x512x64 	 1.998395e+00
67108864 	 1.059052e+01
8192x8192 	 8.662642e+00
1024x1024x64 	 9.707422e+00

C
1048576 	 7.575850e-02
1024x1024 	 4.780347e-02
256x256x16 	 5.841721e-02
4194304 	 3.594195e-01
2048x2048 	 3.062110e-01
256x256x64 	 2.683106e-01
16777216 	 2.484475e+00
4096x4096 	 1.453014e+00
512x512x64 	 1.413523e+00
67108864 	 1.133686e+01
8192x8192 	 6.294937e+00
1024x1024x64 	 6.432583e+00

Z
1048576 	 1.130573e-01
1024x1024 	 8.310488e-02
256x256x16 	 8.370447e-02
4194304 	 5.351027e-01
2048x2048 	 4.994511e-01
256x256x64 	 4.105479e-01
16777216 	 3.265969e+00
4096x4096 	 2.263190e+00
512x512x64 	 1.976028e+00
67108864 	 1.444716e+01
8192x8192 	 9.646874e+00
1024x1024x64 	 8.584517e+00
>> 
-----------------------------------
Resources Used: cput=05:26:33,mem=4842768kb,vmem=6566152kb,walltime=05:26:35
